q_name,q_label,gender,response,n
IC001Q10TA,Available for you to use at home: USB (memory) stick,Male,No,84
IC001Q11TA,"Available for you to use at home: <ebook reader>, e.g. <Amazon® Kindle>",Female,"Yes, and I use it",245
IC001Q11TA,"Available for you to use at home: <ebook reader>, e.g. <Amazon® Kindle>",Female,"Yes, but I don't use it",370
IC001Q11TA,"Available for you to use at home: <ebook reader>, e.g. <Amazon® Kindle>",Female,No,1345
IC001Q11TA,"Available for you to use at home: <ebook reader>, e.g. <Amazon® Kindle>",Male,"Yes, and I use it",266
IC001Q11TA,"Available for you to use at home: <ebook reader>, e.g. <Amazon® Kindle>",Male,"Yes, but I don't use it",348
IC001Q11TA,"Available for you to use at home: <ebook reader>, e.g. <Amazon® Kindle>",Male,No,1317
IC002Q01NA,How old were you when you first used a digital device?,Female,6 years old or younger,542
IC002Q01NA,How old were you when you first used a digital device?,Female,7-9 years old,712
IC002Q01NA,How old were you when you first used a digital device?,Female,10-12 years old,547
IC002Q01NA,How old were you when you first used a digital device?,Female,13 years old or older,154
IC002Q01NA,How old were you when you first used a digital device?,Female,I have never used a digital device until today,5
IC002Q01NA,How old were you when you first used a digital device?,Male,6 years old or younger,706
IC002Q01NA,How old were you when you first used a digital device?,Male,7-9 years old,657
IC002Q01NA,How old were you when you first used a digital device?,Male,10-12 years old,436
IC002Q01NA,How old were you when you first used a digital device?,Male,13 years old or older,137
IC002Q01NA,How old were you when you first used a digital device?,Male,I have never used a digital device until today,26
IC003Q01TA,How old were you when you first used a computer?,Female,6 years old or younger,716
IC003Q01TA,How old were you when you first used a computer?,Female,7-9 years old,899
IC003Q01TA,How old were you when you first used a computer?,Female,10-12 years old,270
IC003Q01TA,How old were you when you first used a computer?,Female,13 years old or older,63
IC003Q01TA,How old were you when you first used a computer?,Female,I have never used a digital device until today,3
IC003Q01TA,How old were you when you first used a computer?,Male,6 years old or younger,767
IC003Q01TA,How old were you when you first used a computer?,Male,7-9 years old,819
IC003Q01TA,How old were you when you first used a computer?,Male,10-12 years old,278
IC003Q01TA,How old were you when you first used a computer?,Male,13 years old or older,63
IC003Q01TA,How old were you when you first used a computer?,Male,I have never used a digital device until today,3
IC004Q01TA,How old were you when you first accessed the Internet?,Female,6 years old or younger,378
IC004Q01TA,How old were you when you first accessed the Internet?,Female,7-9 years old,914
IC004Q01TA,How old were you when you first accessed the Internet?,Female,10-12 years old,548
IC004Q01TA,How old were you when you first accessed the Internet?,Female,13 years old or older,97
IC004Q01TA,How old were you when you first accessed the Internet?,Female,I have never used a digital device until today,5
IC004Q01TA,How old were you when you first accessed the Internet?,Male,6 years old or younger,432
IC004Q01TA,How old were you when you first accessed the Internet?,Male,7-9 years old,897
IC004Q01TA,How old were you when you first accessed the Internet?,Male,10-12 years old,495
IC004Q01TA,How old were you when you first accessed the Internet?,Male,13 years old or older,90
IC004Q01TA,How old were you when you first accessed the Internet?,Male,I have never used a digital device until today,10
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Female,No time,123
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Female,1-30 minutes per day,527
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Female,31-60 minutes per day,440
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Female,Between 1 hour and 2 hours per day,407
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Female,Between 2 hours and 4 hours per day,239
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Female,Between 4 hours and 6 hours per day,115
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Female,More than 6 hours per day,79
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Male,No time,237
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Male,1-30 minutes per day,548
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Male,31-60 minutes per day,454
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Male,Between 1 hour and 2 hours per day,313
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Male,Between 2 hours and 4 hours per day,194
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Male,Between 4 hours and 6 hours per day,86
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?",Male,More than 6 hours per day,81
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Female,No time,45
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Female,1-30 minutes per day,66
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Female,31-60 minutes per day,123
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Female,Between 1 hour and 2 hours per day,346
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Female,Between 2 hours and 4 hours per day,608
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Female,Between 4 hours and 6 hours per day,418
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Female,More than 6 hours per day,326
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Male,No time,40
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Male,1-30 minutes per day,81
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Male,31-60 minutes per day,163
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Male,Between 1 hour and 2 hours per day,360
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Male,Between 2 hours and 4 hours per day,560
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Male,Between 4 hours and 6 hours per day,385
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?",Male,More than 6 hours per day,328
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Female,No time,45
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Female,1-30 minutes per day,61
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Female,31-60 minutes per day,94
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Female,Between 1 hour and 2 hours per day,234
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Female,Between 2 hours and 4 hours per day,477
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Female,Between 4 hours and 6 hours per day,484
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Female,More than 6 hours per day,524
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Male,No time,38
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Male,1-30 minutes per day,83
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Male,31-60 minutes per day,136
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Male,Between 1 hour and 2 hours per day,238
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Male,Between 2 hours and 4 hours per day,480
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Male,Between 4 hours and 6 hours per day,392
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?",Male,More than 6 hours per day,540
IC008Q01TA,Use digital devices outside school for playing one-player games.,Female,Never or hardly ever,989
IC008Q01TA,Use digital devices outside school for playing one-player games.,Female,Once or twice a month,353
IC008Q01TA,Use digital devices outside school for playing one-player games.,Female,Once or twice a week,304
IC008Q01TA,Use digital devices outside school for playing one-player games.,Female,Almost every day,153
IC008Q01TA,Use digital devices outside school for playing one-player games.,Female,Every day,88
IC008Q01TA,Use digital devices outside school for playing one-player games.,Male,Never or hardly ever,292
